sequence,pattern_55,pattern_46,pattern_34,pattern_28,pattern_19,pattern_10,pattern_4,pattern_1,pattern_52_52,pattern_49_49,pattern_43_43,pattern_40_40,pattern_37_37,pattern_31_31,pattern_25_25,pattern_22_22,pattern_16_16,pattern_13_13,pattern_7_7,session_id
52,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
52,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
42,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
43,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
43,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
22,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
34,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
33,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
52,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
51,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
34,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
43,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
42,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
13,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
13,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
55,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
13,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
12,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
13,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
13,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
25,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
24,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
49,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
10,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
9,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
7,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
49,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
43,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
43,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
10,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
34,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
33,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
55,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
34,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
34,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
33,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
52,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
