A1,"15_clicks, 15_clicks, 13_clicks"
A2,"15_clicks, 13_clicks, 0_clicks"
A3,"13_clicks, 0_clicks, 17_clicks"
A4,"0_clicks, 17_clicks, 11_clicks"
A5,"17_clicks, 11_clicks, 16_carts"
A6,"11_clicks, 16_carts, 4_carts"
A7,"16_carts, 4_carts, 3_orders"
A8,"4_carts, 3_orders, 4_orders"
A9,"3_orders, 4_orders, 3_clicks"
A10,"4_orders, 3_clicks, 16_clicks"
A11,"3_clicks, 16_clicks, 16_clicks"
A12,"16_clicks, 16_clicks, 9_clicks"
A13,"16_clicks, 9_clicks, 16_clicks"
A14,"9_clicks, 16_clicks, 8_clicks"
A15,"16_clicks, 8_clicks, 11_clicks"
A16,"8_clicks, 11_clicks, 11_clicks"
A17,"11_clicks, 11_clicks, 17_clicks"
A18,"11_clicks, 17_clicks, 6_clicks"
A19,"17_clicks, 6_clicks, 4_clicks"
A20,"6_clicks, 4_clicks, 11_clicks"
A21,"4_clicks, 11_clicks, 16_clicks"
A22,"11_clicks, 16_clicks, 3_clicks"
A23,"16_clicks, 3_clicks, 16_clicks"
A24,"3_clicks, 16_clicks, 9_clicks"
A25,"16_clicks, 9_clicks, 3_clicks"
A26,"9_clicks, 3_clicks, 10_clicks"
A27,"3_clicks, 10_clicks, 11_clicks"
A28,"10_clicks, 11_clicks, 18_clicks"
A29,"11_clicks, 18_clicks, 14_clicks"
A30,"18_clicks, 14_clicks, 3_clicks"
A31,"14_clicks, 3_clicks, 11_clicks"
A32,"3_clicks, 11_clicks, 11_clicks"
A33,"11_clicks, 11_clicks, 3_clicks"
A34,"11_clicks, 3_clicks, 16_clicks"
A35,"16_clicks, 16_clicks, 10_clicks"
A36,"16_clicks, 10_clicks, 18_clicks"
A37,"10_clicks, 18_clicks, 4_clicks"
A38,"18_clicks, 4_clicks, 3_clicks"
A39,"4_clicks, 3_clicks, 4_clicks"
A40,"3_clicks, 4_clicks, 7_clicks"
A41,"4_clicks, 7_clicks, 7_carts"
A42,"7_clicks, 7_carts, 3_clicks"
A43,"7_carts, 3_clicks, 3_clicks"
A44,"3_clicks, 3_clicks, 17_clicks"
A45,"3_clicks, 17_clicks, 17_clicks"
A46,"17_clicks, 17_clicks, 7_clicks"
A47,"17_clicks, 7_clicks, 7_clicks"
A48,"7_clicks, 7_clicks, 11_clicks"
A49,"7_clicks, 11_clicks, 7_clicks"
A50,"11_clicks, 7_clicks, 17_clicks"
A51,"7_clicks, 17_clicks, 7_clicks"
A52,"17_clicks, 7_clicks, 15_clicks"
A53,"7_clicks, 15_clicks, 17_clicks"
A54,"15_clicks, 17_clicks, 5_clicks"
A55,"17_clicks, 5_clicks, 18_clicks"
A56,"5_clicks, 18_clicks, 9_clicks"
A57,"18_clicks, 9_clicks, 10_clicks"
A58,"9_clicks, 10_clicks, 1_clicks"
A59,"10_clicks, 1_clicks, 10_clicks"
A60,"1_clicks, 10_clicks, 14_clicks"
A61,"10_clicks, 14_clicks, 16_clicks"
A62,"14_clicks, 16_clicks, 17_clicks"
A63,"16_clicks, 17_clicks, 13_clicks"
A64,"17_clicks, 13_clicks, 18_clicks"
A65,"13_clicks, 18_clicks, 18_clicks"
A66,"18_clicks, 18_clicks, 18_clicks"
A67,"18_clicks, 18_clicks, 6_clicks"
A68,"18_clicks, 6_clicks, 12_clicks"
A69,"6_clicks, 12_clicks, 7_clicks"
A70,"12_clicks, 7_clicks, 7_clicks"
A71,"7_clicks, 7_clicks, 12_clicks"
A72,"7_clicks, 12_clicks, 10_clicks"
A73,"12_clicks, 10_clicks, 10_clicks"
A74,"10_clicks, 10_clicks, 12_clicks"
A75,"10_clicks, 12_clicks, 2_clicks"
A76,"12_clicks, 2_clicks, 15_clicks"
A77,"2_clicks, 15_clicks, 17_clicks"
A78,"15_clicks, 17_clicks, 16_clicks"
A79,"17_clicks, 16_clicks, 11_clicks"
A80,"16_clicks, 11_clicks, 3_clicks"
A81,"11_clicks, 3_clicks, 12_clicks"
A82,"3_clicks, 12_clicks, 8_clicks"
A83,"12_clicks, 8_clicks, 14_clicks"
A84,"8_clicks, 14_clicks, 7_clicks"
A85,"14_clicks, 7_clicks, 14_clicks"
A86,"7_clicks, 14_clicks, 16_clicks"
A87,"14_clicks, 16_clicks, 12_clicks"
A88,"16_clicks, 12_clicks, 11_clicks"
A89,"12_clicks, 11_clicks, 3_clicks"
A90,"11_clicks, 3_clicks, 18_clicks"
A91,"3_clicks, 18_clicks, 1_clicks"
A92,"18_clicks, 1_clicks, 9_clicks"
A93,"1_clicks, 9_clicks, 9_clicks"
A94,"9_clicks, 9_clicks, 8_clicks"
A95,"9_clicks, 8_clicks, 9_clicks"
A96,"8_clicks, 9_clicks, 14_clicks"
A97,"9_clicks, 14_clicks, 9_clicks"
A98,"14_clicks, 9_clicks, 11_clicks"
A99,"9_clicks, 11_clicks, 9_clicks"
A100,"11_clicks, 9_clicks, 16_clicks"
A101,"9_clicks, 16_clicks, 9_clicks"
A102,"16_clicks, 9_clicks, 18_clicks"
A103,"9_clicks, 18_clicks, 5_clicks"
A104,"18_clicks, 5_clicks, 9_clicks"
A105,"5_clicks, 9_clicks, 10_clicks"
A106,"9_clicks, 10_clicks, 11_clicks"
A107,"10_clicks, 11_clicks, 13_clicks"
A108,"11_clicks, 13_clicks, 7_clicks"
A109,"13_clicks, 7_clicks, 17_clicks"
A110,"7_clicks, 17_clicks, 14_clicks"
A111,"17_clicks, 14_clicks, 17_clicks"
A112,"14_clicks, 17_clicks, 3_clicks"
A113,"17_clicks, 3_clicks, 16_clicks"
A114,"3_clicks, 16_clicks, 12_clicks"
A115,"16_clicks, 12_clicks, 16_clicks"
A116,"12_clicks, 16_clicks, 6_clicks"
A117,"16_clicks, 6_clicks, 14_clicks"
A118,"6_clicks, 14_clicks, 14_clicks"
A119,"14_clicks, 14_clicks, 3_clicks"
A120,"14_clicks, 3_clicks, 8_clicks"
A121,"3_clicks, 8_clicks, 16_clicks"
A122,"8_clicks, 16_clicks, 11_clicks"
A123,"16_clicks, 11_clicks, 15_clicks"
A124,"11_clicks, 15_clicks, 10_clicks"
A125,"15_clicks, 10_clicks, 9_clicks"
A126,"10_clicks, 9_clicks, 2_clicks"
A127,"9_clicks, 2_clicks, 13_clicks"
A128,"2_clicks, 13_clicks, 10_clicks"
A129,"13_clicks, 10_clicks, 10_clicks"
A130,"10_clicks, 10_clicks, 1_clicks"
A131,"10_clicks, 1_clicks, 14_clicks"
A132,"1_clicks, 14_clicks, 8_clicks"
A133,"14_clicks, 8_clicks, 11_clicks"
A134,"8_clicks, 11_clicks, 10_clicks"
A135,"11_clicks, 10_clicks, 0_clicks"
A136,"10_clicks, 0_clicks, 3_clicks"
A137,"0_clicks, 3_clicks, 2_clicks"
A138,"3_clicks, 2_clicks, 2_clicks"
A139,"2_clicks, 2_clicks, 1_clicks"
A140,"2_clicks, 1_clicks, 5_clicks"
A141,"1_clicks, 5_clicks, 1_clicks"
A142,"5_clicks, 1_clicks, 0_clicks"
A143,"1_clicks, 0_clicks, 7_clicks"
A144,"0_clicks, 7_clicks, 11_clicks"
A145,"7_clicks, 11_clicks, 0_clicks"
A146,"11_clicks, 0_clicks, 2_clicks"
A147,"0_clicks, 2_clicks, 11_clicks"
A148,"2_clicks, 11_clicks, 9_clicks"
A149,"11_clicks, 9_clicks, 4_clicks"
A150,"9_clicks, 4_clicks, 11_clicks"
